Date,Name,Year,Letterboxd URI,Rating
2021-05-02,Jennifer's Body,2009,https://boxd.it/1Efw,2
2021-05-02,Horrible Bosses,2011,https://boxd.it/Ba2,2.5
2021-05-02,Diary of a Wimpy Kid: Rodrick Rules,2011,https://boxd.it/gm2,3
2021-05-03,Shoplifters,2018,https://boxd.it/ifY6,3
2021-05-03,Don't F**k with Cats: Hunting an Internet Killer,2019,https://boxd.it/oqjq,3.5
2021-05-03,To All the Boys I've Loved Before,2018,https://boxd.it/gHec,3
2021-05-05,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,https://boxd.it/1VQa,2.5
2021-05-10,To All the Boys: P.S. I Still Love You,2020,https://boxd.it/kJny,2
2021-05-15,Blue Velvet,1986,https://boxd.it/29BI,4.5
2021-05-22,Casa Grande,2014,https://boxd.it/81AO,4
2021-05-22,Army of the Dead,2021,https://boxd.it/ic7S,1.5
2021-05-23,Black Swan,2010,https://boxd.it/Sw0,4
2021-05-24,Shutter,2004,https://boxd.it/1JbY,3.5
2021-05-27,Eyes Wide Shut,1999,https://boxd.it/2axs,5
2021-05-29,The Bourne Identity,2002,https://boxd.it/26EO,3
2021-05-30,Home,2015,https://boxd.it/6JxA,2.5
2021-05-31,Her,2013,https://boxd.it/4O24,2
2021-06-04,How High,2001,https://boxd.it/20fo,3
2021-06-06,Pitch Perfect,2012,https://boxd.it/3OsE,2
2021-06-06,The Conjuring: The Devil Made Me Do It,2021,https://boxd.it/eXZY,2
2021-06-07,Before Sunrise,1995,https://boxd.it/2bcU,4.5
2021-06-13,Before Sunset,2004,https://boxd.it/2bcg,3.5
2021-06-14,The Turin Horse,2011,https://boxd.it/2Qsk,5
2021-06-14,Shallow Grave,1994,https://boxd.it/1XyW,4
2021-06-19,Annihilation,2018,https://boxd.it/9yzm,1
2021-06-29,Final Destination 3,2006,https://boxd.it/1Z40,3
2021-07-03,How to Lose a Guy in 10 Days,2003,https://boxd.it/1XwG,3
2021-07-05,Uptown Girls,2003,https://boxd.it/1N64,2
2021-07-05,A Quiet Place Part II,2020,https://boxd.it/iTx0,3
2021-07-05,Luca,2021,https://boxd.it/ipjC,3
2021-07-11,Hustlers,2019,https://boxd.it/jIBM,3.5
2021-07-19,Legally Blonde,2001,https://boxd.it/1ZNa,3
2021-07-25,Battleship Potemkin,1925,https://boxd.it/29Vo,5
2021-07-25,Blade Runner,1982,https://boxd.it/2bcA,5
2021-07-26,Strike,1925,https://boxd.it/QFk,4
2021-07-27,La Chinoise,1967,https://boxd.it/28rC,5
2021-07-28,The Butterfly Effect,2004,https://boxd.it/27M0,2
2021-07-28,La Haine,1995,https://boxd.it/2as8,3.5
2021-07-29,Dead Pigs,2018,https://boxd.it/hHEQ,3.5
2021-07-29,GoodFellas,1990,https://boxd.it/29FA,4.5
2021-07-29,Estômago: A Gastronomic Story,2007,https://boxd.it/2hnO,4.5
2021-07-29,Casablanca,1942,https://boxd.it/2aG0,5
2021-07-30,Why Don't You Play in Hell?,2013,https://boxd.it/4lnC,4.5
2021-07-30,Guilty of Romance,2011,https://boxd.it/2OAQ,4.5
2021-07-31,Suicide Club,2001,https://boxd.it/1RkY,2.5
2021-07-31,Naked Lunch,1991,https://boxd.it/26ow,4
2021-08-01,After Hours,1985,https://boxd.it/1VfS,3
2021-08-01,Masculin Féminin,1966,https://boxd.it/23UY,3
2021-08-01,Gosford Park,2001,https://boxd.it/239e,2.5
